#{"t_start": 1763052443.3852305, "env_id": "GridWorld-v3"}
r,l,t
153.0,100,70.463229
-17.5,100,70.617611
-26.0,55,70.664664
10.5,50,70.775888
-50.5,100,70.860462
25.5,13,70.870899
43.0,100,71.024037
35.0,42,71.061554
-23.0,100,71.221539
79.0,64,71.344454
26.5,12,71.35486
10.0,100,71.502013
-1.0,100,71.592506
6.5,40,71.729823
-25.0,53,71.792014
17.5,10,71.801905
-13.5,43,71.912123
10.0,56,71.963433
35.0,86,72.109492
17.5,100,72.202621
10.0,100,72.363765
1.5,5,72.36828
97.0,74,72.570938
-1.0,100,72.743044
105.0,100,72.826832
59.0,52,72.937681
15.5,100,73.086539
78.5,100,73.172395
-35.0,63,73.299447
89.0,100,73.44687
70.5,100,73.537393
4.0,51,73.6535
31.0,20,73.672185
-6.0,100,73.836985
20.0,13,73.847996
21.0,40,73.876732
-19.0,80,74.011115
21.0,100,74.166534
-12.0,100,74.261861
-61.5,100,74.412768
42.5,18,74.434699
21.0,100,74.594795
104.0,100,74.752498
178.0,53,74.797335
38.5,50,74.91071
191.5,100,75.009708
61.0,100,75.17831
36.0,20,75.197457
40.5,31,75.309853
-61.5,100,75.394307
-12.0,100,75.547867
33.0,100,75.698392
87.0,100,75.880153
15.0,7,75.887372
76.0,100,76.055825
92.5,100,76.136486
114.5,100,76.303118
43.5,100,76.458855
66.0,28,76.484368
28.5,21,76.501749
70.5,100,76.66157
48.5,100,76.813823
10.5,6,76.817342
10.5,28,76.841963
54.5,67,76.975951
14.0,30,77.002444
16.0,17,77.016587
70.5,100,77.170034
20.5,40,77.47321
-78.0,100,77.623066
20.0,35,77.663062
7.5,54,77.78831
25.5,13,77.799378
131.5,100,77.895126
39.0,49,78.018583
89.0,76,78.093727
21.0,23,78.201461
10.0,23,78.221895
159.0,100,78.400368
62.0,37,78.439346
450.0,100,78.601734
31.0,24,78.621907
125.5,100,78.801759
48.0,51,78.848029
208.0,100,79.022401
93.5,100,79.197571
116.0,100,79.287995
-28.5,100,79.45777
6.0,5,79.462999
0.5,6,79.470456
186.0,100,79.652482
97.5,74,79.807547
101.5,64,79.862617
49.0,12,79.868712
2.5,14,79.887276
121.0,88,80.067791
197.0,100,80.235485
120.0,100,80.410948
49.0,61,80.474437
